overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
12,3,260,0,0.2421688489125803,260,-0.0014675986437901742,-0.00405100380049118,0.0005438584275269556,0.0028913849420591367,True,
12,0,255,0,0.21930000615238723,255,0.0008301748296731257,-0.0034427034093503575,-0.003209970855652074,-0.0006838622703652388,True,
12,2,260,0,0.1703076410518427,260,-0.005163437379137886,-0.021016351097348243,0.006732606856376547,0.008022768356101944,True,
12,1,258,0,0.17636028453010522,258,0.0013629486418387875,-0.009217364136474638,0.003583049737965558,0.005646867852032306,True,
24,3,237,0,0.1959431290277785,237,0.015137441091383777,-0.007826062903313218,-0.0013555271664471434,-0.004159361440590144,True,
24,0,241,0,0.22434996638982352,241,0.0035156691420253237,0.004708626907780272,0.004658769080584011,0.0019981301141999705,True,
24,2,243,0,0.18658433794154877,243,0.0007276899894195775,0.03150105996585673,0.00197891827279495,-0.010064798414597,True,
24,1,243,0,0.15680418008643923,243,0.0031651225270701586,-0.009191236204377009,0.0033932750508034043,0.001244703946632788,True,
24,4,243,0,0.20331776196300003,243,-0.003849596632516798,0.03973390322066017,-0.0018693769904391164,0.028607381629117547,True,
24,5,244,0,0.1815662305818386,244,0.00239256350009066,-0.0028885992857011424,-0.0013905450009278275,0.0036490158943015332,True,
24,6,244,0,0.21078620016268199,244,-0.0004248386556468769,-0.00425513538595259,-0.00021930533051042314,-0.003468970694824492,True,
24,7,245,0,0.1664531817514001,245,0.023851761361603326,0.0011121193372868425,0.009221934013028666,0.002650736411765142,True,
24,9,245,0,0.24191827172898653,245,0.003990223608804039,-0.04146293330225739,0.01747287889165185,-0.000868505538280103,True,
24,8,245,0,0.1733483433936687,245,-0.00021967045026976187,0.004156972964602139,-0.006232296966606932,0.009064495987429338,True,
36,0,240,0,0.2538964394196715,240,0.0014968317544920213,-0.017606240971215225,0.000272001759942196,-0.003250562976193675,True,
36,3,240,0,0.22912431778201994,240,-0.008804433769350209,0.037933105910635194,0.0039025821703353057,-0.010850447968598721,True,
36,2,240,0,0.24076663224516315,240,0.006933561038134449,-0.014376087483012357,-0.003124781410356138,-0.0011139768348166202,True,
36,1,240,0,0.1821004939617291,240,0.00021551582696796183,-0.013623632904945497,0.0007737117083304666,-0.02487090902770728,True,
36,4,240,0,0.1878155474340306,240,-0.006689511358845776,-0.008801536893130646,0.016482238479231425,-0.0032262498515688446,True,
36,5,240,0,0.21226232639237363,240,0.0011596742073115495,0.002705225058602255,-0.008082862484161759,-0.016355618346432673,True,
36,7,240,0,0.19871893229287219,240,0.01270514573748248,-0.00013282534109649278,0.0028735374918555084,-0.006886028074488449,True,
36,8,240,0,0.2453519526877424,240,-0.008960053718410448,0.0034521118578596053,0.0038857987438207756,0.005330590829668555,True,
36,9,240,0,0.22013278728172553,240,-0.016067487188883924,-0.0002129822051153745,-0.0007460842229511331,-0.003908198707077913,True,
48,4,240,0,0.21055883302981798,240,0.20482274532355088,-0.005736087706267115,-0.023858215755887386,-0.027348166044673626,True,
48,1,240,0,0.2491747921134122,240,0.024205478239342864,0.01607889094246692,0.02812206317102333,-0.025767544376630012,True,
48,2,240,0,0.8443861519724191,240,0.8083961846326654,-0.035989967339753716,0.004070432802867533,0.07736184540967393,True,
48,0,240,0,0.18754232865442444,240,-0.02301788753120236,0.0019632813364115972,-0.000473538875506281,-0.040692703582332665,True,
48,8,240,0,0.41008012229478435,240,0.3591255222550114,0.04602992019104567,-0.007921326763746144,0.0008704140543237323,True,
48,5,240,0,0.25006118116690623,240,0.10667923817504041,0.016860622990290782,0.07405755154925157,0.04017498014274199,True,
48,6,240,0,0.18190461122705898,240,0.0010608957585366203,-0.012396419225521711,0.006845302419464995,0.02961414179546245,True,
48,7,240,0,0.2031652195700493,240,-0.01540697629116687,-0.00794161096829721,-3.643139397503195e-05,0.012204694617032026,True,
48,9,240,0,0.1795078243081129,240,-0.0020443137737102797,0.057598638723796544,0.00986727808170729,0.0045408475383023564,True,
60,2,240,0,0.22918357169785353,240,-0.0013156628599779645,-0.013447940005619144,-0.0059020698558420025,0.015372047751550775,True,
60,0,240,0,0.21508575064342264,240,-0.011282520471386672,-0.018732876941241778,0.16401232513927094,-0.006809837203857193,True,
60,1,240,0,0.2774043518735453,240,-0.006089132627769601,-0.007572872685730337,0.007024652973546717,0.013700189756037137,True,
60,3,240,0,0.19036186704928504,240,-0.03666039872300173,-0.007208566240649049,0.0011381165503166419,0.006756106360583559,True,
60,4,240,0,0.2256669070238671,240,0.012790252833044441,-0.03745256110863196,-0.004459450840172884,-0.005769850427395574,True,
60,5,240,0,0.24107301525114144,240,0.0010008043309979473,0.011730131241644815,-0.0021480877565474314,-0.013099774088136396,True,
60,7,240,0,0.21935372643902276,240,0.03980390874429365,0.12120916657444251,0.005837191855410174,-9.499292701309294e-05,True,
60,6,240,0,0.1913525581366002,240,-0.021724361035887974,-0.004155851684601351,0.0013172322044318675,-0.005487629438390859,True,
60,8,240,0,0.20455274052595124,240,0.0029715508595356513,-0.017059111418520706,-0.006680727236133088,-0.012123630230363686,True,
60,9,240,0,0.2087432085498659,240,0.018835048266438493,-0.01915354350037212,0.00019175357784616655,-0.0027590172024134474,True,
72,2,240,0,0.6183508296273331,240,0.6143835780415253,-0.003967251585807787,0.2690423077814691,0.06610138613527032,True,
72,1,240,0,0.243688423726023,240,0.007210966096944715,-0.00010361178998272575,-0.00905562667656532,0.00011977740173172378,True,
72,0,240,0,0.6700835872282672,240,-0.033614443137903786,0.6364691440903635,0.3061334558606673,0.22610567468931417,True,
72,3,240,0,0.3537708748167228,240,-0.07083236850817669,0.007462859492805821,0.29318249977913374,0.060588375037589064,True,
72,8,240,0,0.22520351296300775,240,0.008489015445848928,-0.0030947837712268405,0.005353978452201671,0.09429238064403907,True,
72,6,240,0,0.5249398204691453,240,-0.0031834748808641303,-0.00453583785860237,0.4145702075423525,0.09514132206258212,True,
72,7,240,0,0.21529772990923138,240,0.048213347048262564,-0.0016285861123348274,0.05827285356039656,0.09369413555851809,True,
72,9,240,0,0.9941552740593937,240,0.8365047944694267,0.010811202923852672,0.728854668109769,-0.04554512623252293,True,
84,2,240,0,0.6991013865232154,240,0.38476551847280643,0.12147752586847292,0.6577220250637622,0.041379361459453166,True,
