protein_1,protein_2,overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
PF00004,PF00072,27,0,299,0,0.19548156371369144,289,0.0022619780150748454,-0.03768459716194147,0.004423655784998408,-0.000335951029607322,True,
PF00004,PF00072,27,3,299,0,0.15362417314198393,295,-0.00278425783302007,0.002675602848108056,-0.016326384860063207,0.002541639305607902,True,
PF00004,PF00072,27,2,299,0,0.2907874249075558,295,0.002519538414886107,-0.001962942370132919,0.22248527629206555,-0.06686452249145831,True,
PF00004,PF00072,27,1,299,0,0.26079997053031995,296,-0.0009531435861811338,0.00014830619817725687,0.1628726084781471,-0.02516964212655101,True,
PF00004,PF00072,27,6,299,0,0.1963107082871923,288,0.14794659322511036,-0.006389318741796891,-0.015875144363604043,-0.001015072272630584,True,
PF00004,PF00072,27,4,299,0,0.31722547397391243,295,0.3061128658953674,0.011112608078545015,0.006451066051126671,0.012680077069866742,True,
PF00004,PF00072,27,5,299,0,0.24451543339937815,294,0.22979267033534234,-0.014722763064035808,-0.0034398490532791337,-0.014829403325400005,True,
PF00004,PF00072,27,7,299,0,0.18026761834857558,292,-6.920914887885242e-05,0.0026537236015799666,-0.003206513972616838,0.0016553333984920939,True,
PF00004,PF00072,27,8,299,0,0.1573018208041717,292,-0.012929171848556725,-0.006337393760293271,0.013498537074216698,0.001737030783253379,True,
PF00004,PF00072,27,11,299,0,0.15742570031212288,292,-0.008315817745239448,-0.031698559892775396,-0.006016355085812233,0.015995197461433488,True,
PF00004,PF00072,27,12,299,0,0.19064543689895483,295,-0.0019075423464033471,2.6101346583757522e-05,0.0030037894553070015,-0.00015425015626923226,True,
PF00004,PF00072,27,9,299,0,0.19013433805411253,296,0.17094074290619107,-0.01919359514792147,-0.00015927204673504077,0.0032912124915758134,True,
PF00004,PF00072,27,14,299,0,0.17261791482809383,292,0.013822646656026632,-6.144340937286532e-05,-0.046918684276271785,0.018177000896596043,True,
PF00004,PF00072,27,13,299,0,0.29499663481349414,295,0.27869619867674084,-0.016300436136753298,0.12214076897222957,-0.09693170914457151,True,
PF00004,PF00072,27,15,299,0,0.1673283785428006,292,-0.003606710799028717,-0.001549000490092114,0.004328954822003889,0.00887225911638411,True,
PF00004,PF00072,27,16,299,0,0.1621582707634115,291,0.0003352135106330632,-0.003843922961208661,0.006160817796025927,-0.0011640746891267808,True,
PF00004,PF00072,27,17,299,0,0.19288498487005568,289,0.0011261122883012378,0.0038198068419363906,-0.011913607687192436,0.00270945662511488,True,
PF00004,PF00072,27,18,299,0,0.14291529539589012,295,0.10650832286383553,-0.00785906907331293,-0.004896839628717475,-0.0019033353876354373,True,
PF00004,PF00072,34,2,299,1,0.1773356245221449,287,0.0008884553637400038,0.0011017933833072614,0.0028106184770155256,0.007086312676829084,True,
PF00004,PF00072,34,0,299,1,0.16809375540892854,290,0.01816250856267202,-0.009893112084770067,0.01001421255365976,0.002434985064092511,True,
PF00004,PF00072,34,1,299,1,0.32676691163145766,291,0.28347671764463256,0.0432901939868251,0.004792573939300095,0.003670627503785114,True,
PF00004,PF00072,34,3,299,1,0.20397859934837276,291,0.0010221846280818328,-0.03719193062095978,0.007922223992954083,-0.004865888498224308,True,
PF00004,PF00072,34,4,299,1,0.14935657273338548,288,-0.01506566148635193,-0.005867318288092829,0.016088397765616328,0.010111789553001871,True,
PF00004,PF00072,34,5,299,1,0.1523405836398153,293,-0.004647700295124018,0.0009137265377774685,0.0009746553666089436,-0.004056770004579999,True,
PF00004,PF00072,34,8,299,1,0.15687723321340413,291,0.00878533166332954,-0.017639263389295785,0.0060863264656375385,0.007345282887149823,True,
PF00004,PF00072,34,7,299,1,0.14413040270897268,293,-0.00046091032062397917,-0.0016348616098399403,-0.002878924284121953,0.010548803430114264,True,
PF00004,PF00072,34,9,299,1,0.15173860325844302,290,-0.0025820725024448816,-0.004164726379659303,-0.020938111101180348,0.04396537650785529,True,
PF00004,PF00072,34,10,299,1,0.1320897165853083,289,0.017862502169308916,-0.007772649890213918,-0.013783522438670067,0.011718368342567172,True,
PF00004,PF00072,34,11,299,1,0.15769727456435187,290,-0.003007780689410169,-0.0028747915551015756,0.010440031967733559,-0.0037783688556740627,True,
PF00004,PF00072,34,12,299,1,0.133881199846743,289,0.0014379241420864701,0.010557599294735652,0.027817440835551776,-0.005303816632169786,True,
PF00004,PF00072,34,13,299,1,0.15567601901524314,289,-0.00675407848291439,0.00235017409600662,-0.00853678091341192,-0.0024983266808473684,True,
PF00004,PF00072,34,14,299,1,0.11887550360267668,291,-0.005487437401218907,0.0006481273512771101,0.07090163694721242,-0.04545921519106673,True,
PF00004,PF00072,34,16,299,1,0.16701082540510315,288,0.002257520372854768,0.0031833498420822987,-0.008626922044209173,0.0023338102204659527,True,
PF00004,PF00072,34,17,299,1,0.2204572733266256,291,0.005465345552676517,-0.0014739074618576261,-0.0083610244542376,0.011094555163288247,True,
PF00004,PF00072,34,18,299,1,0.1467464186683725,292,0.00443522730181135,-0.003348161892155006,0.004255764599915907,-0.0005525848235118564,True,
PF00004,PF00072,34,19,299,1,0.16328058479586366,292,-0.004934524049119937,-0.0003919464430669752,-0.00014915881720907145,0.0023377688746956293,True,
PF00004,PF00072,41,3,299,2,0.17074484064305842,285,0.0005015093818019982,-0.0028620163731548805,-0.00022423691812343408,-0.008700771833073119,True,
PF00004,PF00072,41,2,299,2,0.18231044523672627,287,0.0012048797973064948,0.012050083390813995,0.005965027708003435,-0.0016531856977562362,True,
PF00004,PF00072,41,1,299,2,0.18160171336036565,292,0.011833464579368524,0.0039639565501203,0.010299271698008872,0.0012870361054622894,True,
PF00004,PF00072,41,0,299,2,0.16331155626430352,291,0.0043177221701928194,0.00048604121088580355,0.006189004832548067,0.0006083002988941585,True,
PF00004,PF00072,41,4,299,2,0.17493009113289648,294,0.006326741348083126,-0.16860334978481337,0.00012734365199535737,0.0022045117408788805,True,
PF00004,PF00072,41,5,299,2,0.19296819435724527,290,0.005557944278375706,0.006938431166715663,0.001422674433677726,0.004138395919041431,True,
PF00004,PF00072,41,6,299,2,0.16738765748954787,296,0.0032395669060168004,-0.0008879199340817177,-0.0015287168088800604,0.002621892858372496,True,
PF00004,PF00072,41,7,299,2,0.17869234523481503,291,0.013328964843489057,0.010719346672632938,0.0007151941623400021,0.00048512301000838514,True,
PF00004,PF00072,41,9,299,2,0.16737762568881714,294,0.0030456992397151538,0.019147341235015047,-0.03820990944911548,0.017919847640506276,True,
PF00004,PF00072,41,8,299,2,0.1753963551014957,294,0.008798958825774791,0.0028281035909004373,-0.010968308741390001,-0.0005379975557586803,True,
PF00004,PF00072,41,10,299,2,0.15272844519384482,289,-0.002824972921194147,-0.005767945969479063,-0.004493504250492445,-0.0010425503853803272,True,
PF00004,PF00072,41,11,299,2,0.19780770852059007,291,0.004673518187119763,0.015418382209860573,-0.000724697385756955,-0.004312987136225542,True,
PF00004,PF00072,41,13,299,2,0.17149461624027096,288,0.0020208797406025777,-0.0010259867093941621,-0.00021880708193467634,-0.01050910360678907,True,
PF00004,PF00072,41,12,299,2,0.15691119115282665,289,-0.0063854405039271,0.0017991222151787123,0.0001431391001364983,-0.0026878551009276294,True,
PF00004,PF00072,41,15,299,2,0.2049066913430066,289,0.003707438643661066,-0.000991745080112297,-0.002320777364847257,0.004964705373860496,True,
PF00004,PF00072,41,14,299,2,0.18946417136219645,293,-0.012341415268169412,-9.328044464186266e-05,-0.0014239731056387946,0.0074046802366728405,True,
PF00004,PF00072,41,17,299,2,0.19376411483367928,286,-0.009420582013767193,0.0013675008173632118,-0.002394506924049552,-0.0011948399858033255,True,
