protein_1,protein_2,overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
PF00004,PF00041,39,8,280,0,0.24819996385398677,265,0.0016591524432388169,0.018660053013221933,0.005511657106561249,0.0020803078077469804,True,
PF00004,PF00041,39,7,280,0,0.19544186264699073,262,0.013101766738502406,0.011627669210881418,0.04498189296628589,0.0031911147526508315,True,
PF00004,PF00041,39,11,280,0,0.16943742515570903,264,-0.011239619000389842,0.0016311269015805566,0.05726020107246784,-0.0036483760750582687,True,
PF00004,PF00041,39,12,280,0,0.18701425317541678,269,-0.004032690184756966,-0.010256817332209324,0.001482144364199309,0.014154989091394475,True,
PF00004,PF00041,39,13,280,0,0.5496507102226753,267,-0.15487180492731634,0.394778905295359,0.0030008838346407434,0.12481028318841145,True,
PF00004,PF00041,39,14,280,0,0.20848659915316523,261,-0.029030395628680462,0.17138104153230616,-0.009133028825068043,-0.0036380537062600427,True,
PF00004,PF00041,39,15,280,0,0.21119251276228349,265,0.007917427751042228,0.02747243010736803,0.01040445441589807,0.013474938854962508,True,
PF00004,PF00041,39,16,280,0,0.2816542984388566,261,0.0031401605766506776,0.04734961618017828,-0.1956612061491902,0.047236363003240765,True,
PF00004,PF00041,39,17,280,0,0.18957791215634906,270,-0.0006303778109161227,-0.03983497470086139,0.0062103621771248665,-0.003341750274996278,True,
PF00004,PF00041,39,18,280,0,0.39380335164951796,268,-0.19004932847620212,0.20375402317331587,-0.019191808923834895,0.015954245465764384,True,
PF00004,PF00041,39,19,280,0,0.24576725349556378,264,-0.0061426876444335525,-0.004961339023483553,-0.011457526238713657,-0.0011208112334811487,True,
PF00004,PF00041,51,1,280,0,0.5748710563157211,261,0.016333997176158743,0.01183168262859414,0.05131634461791897,0.5235547116978021,True,
PF00004,PF00041,51,4,280,0,0.3429124898445903,264,-0.0013952372803858095,-0.017588789301778367,-0.00881983225754589,0.3340926575870444,True,
PF00004,PF00041,51,0,280,0,0.22756941626865518,263,0.06779043451870573,0.017131353178447797,0.08549512109902187,0.1420742951696333,True,
PF00004,PF00041,51,2,280,0,0.4500854103923064,262,0.03932810653551533,0.1423811411251148,0.09126879198323962,0.1853208214340365,True,
PF00004,PF00041,51,5,280,0,0.5371361878943073,257,0.4378688630370432,0.09926732485726414,0.0602741171294134,0.015276178288132863,True,
PF00004,PF00041,51,6,280,0,0.40215714288943755,266,0.09652600707070645,0.3056311358187311,-0.018035535315869967,0.00020390368150504905,True,
PF00004,PF00041,51,9,280,0,0.24833873039540214,260,-0.013693343761885194,0.013733429733494455,0.0037563938519877844,0.00219070139081194,True,
PF00004,PF00041,51,8,280,0,0.297026857277937,263,0.03586374946836762,0.14800190002040003,0.09953023212328366,0.1468482867023966,True,
PF00004,PF00041,51,10,280,0,0.5227024902115195,262,-0.10190223505720102,0.043350638760971436,-0.031690824981393396,0.46195913939551636,True,
PF00004,PF00041,51,11,280,0,0.710696163504761,270,-0.01192383582625689,0.3434393918082359,0.46026819799106145,0.2504279655136995,True,
PF00004,PF00041,51,15,280,0,0.2766762331530789,261,0.1387384475631257,-0.019576123752022532,0.052337246215136045,0.2097773865308662,True,
PF00004,PF00041,51,14,280,0,0.7498775018198303,264,0.17010794168195137,0.5797695601378788,-0.029974450192670372,0.009446217835751475,True,
PF00004,PF00041,51,17,280,0,0.34470754070883347,261,0.033562243158976,0.30419468831327734,-0.03185839251360225,0.008503422567071296,True,
PF00004,PF00041,51,16,280,0,0.3610981182783505,261,0.04525135683794438,-0.05344355127613955,0.29890397152256387,0.01312447617623737,True,
PF00004,PF00041,51,18,280,0,0.2966424284821678,261,0.007000328250382037,-0.023478755687295936,0.07066752686513608,0.22597490161703176,True,
PF00004,PF00041,51,19,280,0,0.4453940621552864,262,0.26864020130372374,0.08831732367735949,-0.02341659947115749,0.4219774626841289,True,
PF00004,PF00041,63,4,280,0,0.8170725372206796,259,0.0026397667873046863,-0.04065324580066646,0.7971879649507172,-0.01988457226996245,True,
PF00004,PF00041,63,1,280,0,0.3030895560356761,263,0.19468090751298028,-0.017613803412905287,0.04900089292733154,0.02364595169410205,True,
PF00004,PF00041,63,2,280,0,0.7017589903391136,255,0.43993040057711474,0.0882499537847855,0.6996523998030424,0.0021065905360712215,True,
PF00004,PF00041,63,0,280,0,0.879647587360031,259,0.7470871888391167,-0.012179992762305412,0.076377102455204,0.1445201812737595,True,
PF00004,PF00041,63,5,280,0,0.6394233695584451,256,0.6353381311464955,-0.0040852384119495775,0.4501874265353658,0.05562156464097768,True,
PF00004,PF00041,63,6,280,0,0.7522919653214106,260,0.47233637056092675,0.2799555947604839,-0.0037360102567826283,-0.026577244307388358,True,
PF00004,PF00041,63,7,280,0,0.24119620811913575,254,-0.002078754430203103,0.002562260725324794,0.005906280784671166,-0.0038132576940947734,True,
PF00004,PF00041,63,10,280,0,0.6891565691644349,260,0.30330442812763153,-0.023479242969902416,0.6815059397123859,-0.0076506294520489295,True,
PF00004,PF00041,63,11,280,0,0.8620328047849267,259,0.8364528785824868,0.025579926202439915,0.49817104264395895,0.021574058252478143,True,
PF00004,PF00041,63,12,280,0,0.19105789920729782,256,-0.0005198803125578423,0.0020263274258854325,-0.0011865741219353302,0.005296038091715136,True,
PF00004,PF00041,63,13,280,0,0.5522130424831164,252,0.20677130658788406,0.3454417358952323,0.18715590391625755,0.252350068932484,True,
PF00004,PF00041,63,14,280,0,0.6181559559631659,257,0.021571135312625576,0.05271845129891444,0.5919652479740798,-0.003995745490687554,True,
PF00004,PF00041,63,15,280,0,0.9025963581727402,261,0.7762029208977917,-0.018153889438188176,0.671691019362184,-0.002120940916574062,True,
PF00004,PF00041,63,17,280,0,0.7668313783387745,255,0.6628600666533082,0.10397131168546621,0.4674238664683867,0.29617474117133047,True,
PF00004,PF00041,63,18,280,0,0.8362539047353874,259,0.7570848458058024,0.005906217202579996,0.6546846894113317,0.1815692153240557,True,
PF00004,PF00041,75,5,280,0,0.2846241877613625,252,-0.022624734970449,0.002492320970210342,0.032651446083896814,0.01556701505855638,True,
PF00004,PF00041,75,6,280,0,0.4496971722887476,256,-0.025553049423039462,0.012474671133964112,0.34061710532727246,0.03921530988518558,True,
PF00004,PF00041,75,1,280,0,0.28803000348469593,255,0.0031122070071307106,0.028776462169534254,-0.0032060689379789053,-0.0076091636112594,True,
PF00004,PF00041,75,7,280,0,0.24109156750802632,255,0.007703714490593617,-0.010910262863453288,0.003365722907877274,-0.0018786831012442037,True,
PF00004,PF00041,75,9,280,0,0.29634238522914286,247,0.08392401259059368,0.038968761244459756,0.024112382986685863,0.01105535370018132,True,
PF00004,PF00041,75,8,280,0,0.2006037416376306,255,8.124753241652787e-05,-0.0020474287790930687,-0.005773744400734701,-0.006132079910983228,True,
PF00004,PF00041,75,12,280,0,0.1960512507072214,250,-0.002845952377453754,-0.01336912921437843,0.001461093959721236,0.03852319878388552,True,
PF00004,PF00041,75,10,280,0,0.22625943714395347,256,0.0029621622093304605,-0.002969011134116841,0.007976390376028056,0.004798753451092711,True,
PF00004,PF00041,75,14,280,0,0.28641282426322606,249,0.00756881327510088,0.026172044774376978,0.013075628452551431,0.11679573858284946,True,
PF00004,PF00041,75,13,280,0,0.23321951878183683,248,0.0314715890005248,-0.009515451882871397,0.008786816516921531,0.007918688779236942,True,
PF00004,PF00041,75,16,280,0,0.18450576136860303,253,0.004083890130324614,0.009641768771784917,0.0013722586937071491,-0.005378228717757611,True,
PF00004,PF00041,75,15,280,0,0.23430537214510977,255,0.0015026138040972758,-0.0012734540437913146,-0.001532300017684754,-0.024975322383806644,True,
PF00004,PF00041,75,19,280,0,0.23925138154617864,249,0.12036317581605188,-0.04666389181162559,0.030815111053076702,-0.027083662861872446,True,
PF00004,PF00041,87,0,280,0,0.6044879596564092,244,0.3511597775516964,0.2533281821047128,0.019318073205427812,0.03262645869721937,True,
PF00004,PF00041,87,1,280,0,0.42194998814636053,244,0.014323075787438001,0.40583480578722186,0.04393055199204903,0.027353702633783162,True,
PF00004,PF00041,87,4,280,0,0.2169477415542559,252,-0.015928531080262598,0.004965184589438389,-0.05115583357962008,0.012902983598283232,True,
PF00004,PF00041,87,2,280,0,0.35469101107185463,252,0.027253057419715076,0.01413138242621822,0.32908522123087525,0.023706551729023154,True,
PF00004,PF00041,87,5,280,0,0.21867665948273257,249,-0.048027324779223356,0.021056733255794886,0.004787804257565717,0.02373137679440287,True,
PF00004,PF00041,87,7,280,0,0.6881392326326105,245,-0.02064815261481937,0.11369820881313975,0.5023951063277563,0.18574412630485418,True,
PF00004,PF00041,87,6,280,0,0.3211024702872488,247,-0.04848876799599998,0.0036004091682287085,0.17090348663597493,0.06979793718027888,True,
PF00004,PF00041,87,8,280,0,0.3091609283224832,251,-0.14766537017276993,0.07089954023826751,-0.019011827882788917,0.021306090403499633,True,
PF00004,PF00041,87,9,280,0,0.3324496878942125,247,-0.002816094669954157,0.12732874699267913,0.07146561967610746,0.26098406821810505,True,
PF00004,PF00041,87,10,280,0,0.21819427498735458,243,-0.03863329006457897,0.008977474696449949,6.797806377879155e-05,-0.012601619367280607,True,
PF00004,PF00041,87,11,280,0,0.37578860683859794,243,0.2179931205744654,-0.006814270240348603,-0.011374906179824151,0.00822904667512402,True,
PF00004,PF00041,87,12,280,0,0.5407826706139842,246,-0.1186290195709413,0.42215365104304287,0.09750517140256397,0.01765730754211998,True,
PF00004,PF00041,87,14,280,0,0.25632361068520154,245,-0.019990197009223755,0.2226408569689394,0.07016660398854103,0.012510944344671314,True,
PF00004,PF00041,87,16,280,0,0.2700604462183126,248,-0.01932408829996454,0.00346883427427551,0.18102124669370645,-0.009832541984950446,True,
PF00004,PF00041,87,17,280,0,0.43514626227385933,255,-0.002349279045684377,-0.0010041934543200165,0.21852012679754773,0.006687654879628627,True,
PF00004,PF00041,87,18,280,0,0.2052693113903817,249,-0.017781778440743544,0.08816113305085185,0.011826366289093003,0.08303744106193839,True,
PF00004,PF00041,99,4,280,0,1.015797012648298,240,0.6294377948691802,0.3863592177791179,0.387251033156086,0.34418267596198104,True,
PF00004,PF00041,99,0,280,0,1.220893225890876,236,0.4539174536593641,0.7669757722315118,0.6019457397333497,0.4849502335506805,True,
PF00004,PF00041,99,3,280,0,1.0947962543770413,243,0.5821638365250413,0.512632417852,0.8773136022711384,0.04971372889709045,True,
PF00004,PF00041,99,1,280,0,1.0787492337875395,240,0.620309468800937,0.4584397649866025,0.5197921102634329,0.4380790666973386,True,
PF00004,PF00041,99,5,280,0,1.4965762352563061,236,0.8397303834799702,0.6568458517763359,0.6757643716002106,0.30028538015032763,True,
PF00004,PF00041,99,6,280,0,1.246466991512151,233,0.3266307694354865,0.6978963888722658,0.6989307671811009,0.5475362243310501,True,
PF00004,PF00041,99,7,280,0,0.8027580827361784,240,0.7471677058912257,-0.003259658012247981,0.35169564802521036,0.43673515544109054,True,
PF00004,PF00041,99,8,280,0,1.488257973268056,239,0.629427778833554,0.6047069551199905,0.6840508170659035,0.8042071562021526,True,
PF00004,PF00041,99,9,280,0,1.2945561329898205,240,0.0012134133340758048,0.8244565924583094,0.648262157814219,0.6221018348329648,True,
PF00004,PF00041,99,10,280,0,1.6005009480385128,240,0.96495244826909,0.27398875812050777,0.7954895940192699,0.8050113540192431,True,
PF00004,PF00041,99,11,280,0,1.3711009978692272,243,0.7974009241359521,0.5737000737332751,0.5739165841082834,0.3738622413341619,True,
PF00004,PF00041,99,12,280,0,1.2662368234764558,235,0.242647115721807,0.8711564305255022,0.2648258446362001,0.5757513441242481,True,
PF00004,PF00041,99,13,280,0,1.5811067017463631,235,0.6998163186884752,0.2814574942311756,0.9112257715645817,0.6698809301817814,True,
PF00004,PF00041,99,14,280,0,1.3789227709466445,239,0.43049720734721697,0.9484255635994276,0.47761532043017757,0.5805901836175137,True,
PF00004,PF00041,99,15,280,0,1.0216366339199507,243,0.48755786645154964,0.4417046191615189,0.5085833923446237,0.4223813075644644,True,
PF00004,PF00041,99,16,280,0,1.027575506307635,252,0.6772278522420965,0.3503476540655387,0.07566961143325165,0.9339037732448098,True,
PF00004,PF00041,99,18,280,0,0.9458144261383079,239,0.9070630049536555,0.03875142118465236,0.7507242194885289,-0.015960486709216293,True,
PF00004,PF00041,99,19,280,0,1.643972561239144,244,0.849846327612129,0.7317392958774998,0.9147780575361747,0.40493628148015604,True,
PF00004,PF00041,111,0,280,0,0.30624379065392526,228,0.0051214926987733595,0.3011222979551519,-0.01835481716427445,0.0019967540934975486,True,
PF00004,PF00041,111,1,280,0,0.41458258246999813,232,0.012846417277033893,0.013353890903876151,0.11165126313500846,-0.004090942961279768,True,
PF00004,PF00041,111,3,280,0,0.22361085555044458,232,0.025085733788006857,0.120298733695198,0.10340735614418853,0.01024183024957492,True,
PF00004,PF00041,111,2,280,0,0.8344872618476475,234,0.16729581705311342,0.07473058018196517,0.6250810511678624,0.20940621067978518,True,
PF00004,PF00041,111,5,280,0,0.3011412190084095,231,-0.007339226245056577,0.13656208593333655,0.021823713928152175,-0.03524456469151494,True,
PF00004,PF00041,111,4,280,0,0.23182714891540013,231,0.04775572002597904,0.03586694065509986,0.04340525289226208,-0.008356132001994332,True,
PF00004,PF00041,111,6,280,0,0.8484696999829914,234,0.08921087531851678,0.06023153705579417,0.8185895218409149,0.029880178142076396,True,
