overlap,trial,seed,error,hamming_distance,n_mutations,max_distance_from_natural,start_distance,end_distance,start_energy,end_energy,mean_e1_generated,mean_e2_generated,ga_converged,protein_1,protein_2,nat_mean_1,nat_mean_2
36,3,36342,,248,248,0.1946621526527646,0.008514358096343452,0.0031679769810998874,266.32655005431,266.60048272331886,145.90587573621514,120.66250210823054,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,4,36442,,241,241,0.21068540075743275,0.022044280575160363,0.014769725788604858,267.3260964886077,266.44252470225734,145.9725658698152,120.6468994170429,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,5,36542,,243,243,0.20077618782117063,0.01400058693368575,0.001304018384154342,266.21326577226534,266.553351534103,145.79438341993202,120.70487390673497,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,6,36642,,243,243,0.19172586302758007,0.0059749446410478566,0.0020035088070543858,266.4735554415567,266.54265365598144,145.9255595150946,120.65597824535739,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,7,36742,,242,242,0.23157515683281207,0.009784324103301016,0.011928752537762355,266.6337105658747,266.09844009170064,145.8550003832801,120.63546833029116,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,8,36842,,244,244,0.2855330115655606,0.012560365212780367,0.006663954172586764,266.43749116035144,266.493312586606,145.7724767847697,120.64612565899023,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,9,36942,,241,241,0.22360131190389254,0.0018607551226965504,0.003944016758603864,266.49008157102395,266.6393519005562,145.9317567257993,120.656395295929,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,10,37042,,242,242,0.22131080594240965,0.009052568018320752,0.004036208228445864,266.740007103905,266.5960457266434,145.93509435563485,120.62536379740284,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,11,37142,,246,246,0.2962134325763089,0.008930724379792481,0.011775281771114757,266.2257871501072,266.19418643064796,145.846909032941,120.66808590032376,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,12,37242,,241,241,0.2119823681930263,0.011921544661331123,0.006623469378161521,266.2784893204842,266.7042647161812,145.84373828972932,120.64762873472434,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,13,37342,,245,245,0.28838613704636556,0.0007822138242141339,0.008450008593523095,266.52242964009025,266.54966898632244,145.8227929472432,120.64443723619961,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,14,37442,,245,245,0.2502211434210825,0.0005764658906960582,0.0044806340052679,266.5564146007584,266.5303950183188,145.90502040012493,120.64051525249586,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,15,37542,,241,241,0.244499833604017,0.0097364682497599,0.005376548415501001,266.2995341332747,266.67630843120673,145.87312695244196,120.6575589381309,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,16,37642,,249,249,0.22698225952935466,0.022873004670533135,0.005467781783466165,266.0389149987436,266.65063578214824,145.81152196374975,120.61408037435396,True,PF00004,PF00041,145.87937104727615,120.65601144257766
