protein_1,protein_2,overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
PF00153,PF00271,27,0,230,0,0.19179829031950157,225,0.023065152348255548,-0.033457325514971964,-0.00040419958861121375,-0.015354293354415103,True,
PF00153,PF00271,34,2,232,1,0.4865039279764473,221,0.458167540987609,-0.0062090722836319785,0.4558244191019535,-0.011621030935114489,True,
PF00153,PF00271,34,1,230,1,0.4333414701135412,222,0.22865677909346568,-0.20468469102007553,0.18476709702602961,0.003344105235296043,True,
PF00153,PF00271,34,0,229,1,0.2578939559921324,221,0.01088909052851749,-0.24700486546361491,0.09673486587374502,-0.02584111900488955,True,
PF00153,PF00271,41,1,223,2,0.19477751818914243,220,-0.0013310589854575556,-0.021542721670950896,0.006275030628487567,-0.0007410415854323333,True,
PF00153,PF00271,41,0,222,2,0.285683061907785,215,0.05805439362200557,-0.1047459142063399,0.09609374818783985,-0.1401153855651637,True,
PF00153,PF00271,41,2,224,2,0.19013051219101393,222,0.009773290885355612,-0.0008653850722676666,0.004709237784976115,-0.001182989637277694,True,
PF00153,PF00271,41,3,224,2,0.17831187968439116,216,0.00108355749223003,0.003926032168756968,0.007602134535062516,0.003065807547015353,True,
PF00153,PF00271,41,4,224,2,0.17013516618849286,222,-0.00015767092101419172,-0.008721333624408713,0.005669076457337146,0.0012014061189523186,True,
PF00153,PF00271,41,5,225,2,0.1504099768019946,221,-0.002505057867329558,-0.0033208286148916216,0.011701187880330593,-0.0607974523679947,True,
PF00153,PF00271,41,6,225,2,0.2060964383043848,222,0.01008935627383901,-0.007225494505364821,-0.06744028635959558,-0.13865615194478922,True,
PF00153,PF00271,41,7,225,2,0.20081650615323465,222,-0.028291817612668222,-0.0024131038409864777,-0.02383085024951241,-0.0009185585377564956,True,
PF00153,PF00271,41,8,225,2,0.40567620876527444,218,0.18718744470688653,-0.21848876405838794,0.0028200580613022353,0.007298194209842345,True,
PF00153,PF00271,41,11,227,2,0.2870149548950483,223,0.17633413796279063,0.0060201822493653025,-0.019903440303973337,-0.043718410324198285,True,
PF00153,PF00271,41,9,226,2,0.20862391734661473,224,-0.017696318878437988,-0.19092759846817675,-0.012655888653633228,-0.021662752635218722,True,
PF00153,PF00271,41,10,226,2,0.16601943065298003,223,0.043350150668984164,-0.007149364395559364,0.006447988946554738,0.013418398195616866,True,
PF00153,PF00271,41,12,227,2,0.328290732532127,222,-0.025383622004714945,-0.30290711052741204,0.2131334882862592,-0.05547345612174341,True,
PF00153,PF00271,41,13,227,2,0.4110650768911995,224,0.010814527729503443,0.0027396349455533773,0.36878142876676245,0.04228364812443703,True,
PF00153,PF00271,41,14,227,2,0.2337571306943017,220,-3.4846226500660416e-05,-0.06580952741734332,0.02953244823448173,0.10032755711262946,True,
PF00153,PF00271,41,15,227,2,0.31971509716400026,222,-0.049968935345125615,-0.2697461618188746,0.18330888890121758,-0.008451942753308734,True,
PF00153,PF00271,41,16,227,2,0.19176751779869694,223,-0.047096280853214365,0.005190679571141016,-0.005966000400500155,-0.008980640468013423,True,
PF00153,PF00271,41,17,228,2,0.18356873293420495,224,0.006923453763073042,4.811558553806064e-05,-0.0010589868735968238,-0.009090579695726263,True,
PF00153,PF00271,41,18,228,2,0.19677575712759382,223,0.09648243339970008,-0.026222486519050976,-0.01879708288665392,-0.04104086829754618,True,
PF00153,PF00271,41,19,228,2,0.47760467639145265,222,-0.00566153962229594,0.011457099872310458,0.01469350617747836,-0.46291117021397427,True,
PF00153,PF00271,48,2,218,0,0.20944762111618634,204,0.004252296696510813,0.0014768857723081725,-0.019603626391678987,-0.01610601599503675,True,
PF00153,PF00271,48,0,218,0,0.1495185051380284,207,0.006054129161785261,0.005895173413989383,-0.00413447219496546,0.005847443838451629,True,
PF00153,PF00271,48,1,218,0,0.16866803664997795,210,0.00017968594755393244,-0.004381608674407392,-0.0028004198331611913,-0.006643087900934304,True,
PF00153,PF00271,48,3,225,0,0.19837927895747973,209,-0.008441585373521547,-0.0020461372983217904,-0.003716028975100168,-0.005485790888057914,True,
PF00153,PF00271,48,4,226,0,0.2732923266078025,219,0.026771807164691647,-0.08420460813942575,0.004886029417826543,-0.05244931455581149,True,
PF00153,PF00271,48,6,227,0,0.1610812852637482,221,-0.014597880295717888,0.001923713752539203,-0.025500061069077023,-0.0010749428167298198,True,
PF00153,PF00271,48,5,227,0,0.23358524313848622,220,-0.0005253214660651074,0.009191576809828001,0.04551237833542086,0.002090513846309418,True,
PF00153,PF00271,48,7,227,0,0.5990459946104465,215,0.015651768403773827,-0.2801033399195216,0.09136828128989609,-0.5076777133205504,True,
PF00153,PF00271,48,8,230,0,0.30535669349095285,223,0.09562290217979227,-0.009555207437031157,0.10854008127850479,-0.058305172790087095,True,
PF00153,PF00271,48,9,230,0,0.4122302369206305,219,0.06650608726735853,-0.345724149653272,0.05255268038358014,-0.29898068171434705,True,
PF00153,PF00271,48,10,230,0,0.15603152926744035,220,0.006819962110950679,-0.000829272130561085,-0.0016233008330267039,0.002712605149114207,True,
PF00153,PF00271,48,11,230,0,0.21266813978775712,218,0.004794257401107259,8.260187350537813e-05,-0.002904822509879045,0.0018811043321241621,True,
PF00153,PF00271,48,12,230,0,0.1893698421309211,216,0.1369799195190815,0.03027086952153126,0.028195014347957705,0.012191939879874105,True,
PF00153,PF00271,48,14,231,0,0.2568029939866804,216,-0.02748820805090385,-0.017228649295826678,0.007455291730396608,0.020956195687877863,True,
PF00153,PF00271,48,13,231,0,0.2883263378963655,222,0.18705336221335994,-0.09696830711943492,0.23736042478168834,0.008984470548726597,True,
PF00153,PF00271,48,15,231,0,0.29673960422488616,221,0.16368550178799945,0.1330541024368867,-0.004270242118560754,-0.0017645602213770082,True,
PF00153,PF00271,48,16,231,0,0.3072219285265512,222,0.26975533568262644,0.011671218927893747,0.11189094126754918,0.09601388089368534,True,
PF00153,PF00271,48,18,232,0,0.2341461455207569,221,-0.024479376433173623,-0.005280198868072805,0.006953174522753839,-0.0017557444579332847,True,
PF00153,PF00271,48,17,232,0,0.3501186856386037,223,-0.03708256789657648,-0.3130361177420272,0.13217806964103107,-0.059889931498424795,True,
PF00153,PF00271,48,19,232,0,0.2236137644529339,217,0.21858460251660417,-0.005029161936329726,-0.005476059399742699,-0.003760649260477381,True,
PF00153,PF00271,55,0,212,1,0.5423030930631292,199,0.13525399791323708,0.041679187971413484,0.5415192936048161,-0.0007837994583130456,True,
PF00153,PF00271,55,3,222,1,0.2457305673937587,208,-0.05162771719794759,0.06061687444318578,0.05347512608325734,0.02456770719119468,True,
PF00153,PF00271,55,2,221,1,0.3368642851651204,205,0.26710936363301097,-0.0165961446062075,0.004954850867781305,-0.0029888500311137465,True,
