,PF1,PF2,Overlap,Mean_E1,Std_E1,Mean_E2,Std_E2,Nat_Mean1,Nat_Mean2,Dist_1,Dist_2,Min_Dist_1,Min_Dist_2,Iter_To_Min_1,Iter_To_Min_2
0,PF00004,PF00041,12,143.40041208144092,10.207618145123805,133.3578485101296,9.907221889338024,145.87937104727615,120.65601144257766,2.4789589658352327,12.701837067551935,0.20959126125360683,0.2487785481633466,158500.0,142125.0
1,PF00004,PF00041,15,180.3956407131214,16.081571452201274,134.83076686688813,9.514051354079252,145.87937104727615,120.65601144257766,34.51626966584524,14.174755424310462,5.229087640724892,0.457575559431573,160750.0,168000.0
2,PF00004,PF00041,18,165.35723829069337,21.90717012344712,136.50176296795505,7.570723058457313,145.87937104727615,120.65601144257766,19.477867243417222,15.84575152537738,1.7149549815466856,0.4436346554271083,182875.0,179875.0
3,PF00004,PF00041,21,147.1133034206535,13.87467065266947,130.99864016028815,11.729774612154264,145.87937104727615,120.65601144257766,1.2339323733773426,10.342628717710483,0.35149237769336705,0.42908064446702027,162000.0,146500.0
4,PF00004,PF00041,24,157.94616356613483,13.846161340139258,133.33112362489024,11.240983471035664,145.87937104727615,120.65601144257766,12.066792518858676,12.675112182312574,0.3438963315397231,0.31893550896299205,175000.0,151000.0
5,PF00004,PF00041,27,155.5476627824437,22.66407223697645,137.44633469910644,10.14739125300845,145.87937104727615,120.65601144257766,9.668291735167543,16.79032325652878,1.6500282842316252,0.6898114081296718,165250.0,148625.0
6,PF00004,PF00041,30,149.89082203091746,18.11268290556928,136.6391547119843,11.72696051668706,145.87937104727615,120.65601144257766,4.011450983641311,15.98314326940664,1.6063165184645272,0.48212124243361243,165375.0,149250.0
7,PF00004,PF00041,33,177.40592261766795,28.736364328847063,142.63236467530584,8.098601049640918,145.87937104727615,120.65601144257766,31.526551570391803,21.976353232728172,5.613450181153392,0.829221991456879,166625.0,123500.0
8,PF00004,PF00041,36,147.00089967252322,12.809340348350899,134.2760792848699,12.830486215714481,145.87937104727615,120.65601144257766,1.1215286252470662,13.62006784229223,0.2666512602109492,0.3739510418965324,174750.0,139875.0
9,PF00004,PF00041,39,148.4306132021612,17.65366609952298,142.91473363752993,7.371021290210276,145.87937104727615,120.65601144257766,2.5512421548850455,22.25872219495227,0.6476347877708065,3.1330387916104683,155250.0,119250.0
10,PF00004,PF00041,42,160.81767638829234,15.550084352889064,141.12134643150156,9.839030532172137,145.87937104727615,120.65601144257766,14.93830534101619,20.4653349889239,2.1477309286264017,0.8691343847804326,168375.0,88750.0
11,PF00004,PF00041,45,154.0547113918526,13.32815823816851,141.7467022198883,9.963014703914101,145.87937104727615,120.65601144257766,8.175340344576455,21.09069077731064,0.3238805093616605,1.0032826175213672,162625.0,126375.0
12,PF00004,PF00041,48,178.87072588406951,24.543387954722817,135.8915616428559,8.091407495321874,145.87937104727615,120.65601144257766,32.99135483679336,15.235550200278226,11.156591538408575,0.5800613054394645,168875.0,97500.0
13,PF00004,PF00041,51,155.89742713845635,18.88271574894108,150.5615696217739,7.910025232301479,145.87937104727615,120.65601144257766,10.018056091180199,29.905558179196248,0.22266569765591981,5.478156052814262,153500.0,104250.0
14,PF00004,PF00041,54,187.7284307251112,23.426619393918628,138.02536084202072,7.778466000659026,145.87937104727615,120.65601144257766,41.849059677835044,17.369349399443053,13.960029429654492,0.6799800898887873,150125.0,143875.0
15,PF00004,PF00041,57,167.17111985046773,19.195547867775076,148.66479186061548,10.062568271855572,145.87937104727615,120.65601144257766,21.29174880319158,28.008780418037816,2.92660419426023,4.549776510850425,179750.0,89500.0
16,PF00004,PF00041,60,173.35026387252927,28.153106577744385,131.306866262027,14.07322776800049,145.87937104727615,120.65601144257766,27.470892825253117,10.650854819449336,9.130102671551885,0.1236317576159081,179000.0,138875.0
